,Breath_ID,Time_Step,Flow,Pressure,Target_Class_0,Target_Class_1,Target_Class_2,Target_Class_3,Target_Class_4,Polynomial_Area,Hull_Area,ft_TV_1,ft_TV_2,ft_TV_3,ft_P_1,ft_P_2,ft_P_3,TV_Max,TV_Min,P_Max,P_Min,Perimeter,Width_TV_Range,Height_P_Range,Centroid_X_TV,Centroid_Y_P,Dynamic_Compliance,Aspect_Ratio_H_W,Curvature
0,0,0,2.24,5.14,0,1,0,0,0,288.26381599999985,416.28792699999997,2748.4691999999977,973.509451279987,928.0991118567999,1899.96,1841.156761847516,1676.5590785346174,20.801399999999997,0.0,35.11,0.0,109.72995827416459,20.801399999999997,35.11,3.435586499999997,2.37495,0.5924636855596696,1.6878671627871202,3.759295818410026
1,1,0,2.14,5.22,0,0,0,0,0,314.8425899999999,463.60090599999995,1534.3323999999936,1365.2916157035877,1245.807707063323,2120.1099999999997,1999.5627896211415,1679.6147039213697,21.720799999999997,0.0,36.81,0.0,139.81334665086962,21.720799999999997,36.81,1.9179154999999923,2.6501375,0.5900787829394185,1.6946889617325331,17.825140601210176
2,2,0,2.23,4.83,0,1,0,0,0,400.41955000000036,565.0916370000002,4166.491400000007,1169.804443559775,1085.4480017544402,2144.02,2024.9410640537833,1708.0757852453703,24.820400000000006,0.0,35.0,0.0,164.4856923329014,24.820400000000006,35.0,5.20811425000001,2.680025,0.7091542857142858,1.4101303766256785,4.3261862271627916
3,3,0,2.12,5.15,1,0,0,0,0,57.09189599999996,132.27517399999996,4277.309999999999,6.439822580078304,7.082924023186279,502.0,501.5322200592353,500.13083620495684,9.061999999999998,0.0,40.01,0.0,85.33641586902709,9.061999999999998,40.01,5.346637499999998,0.6275,0.226493376655836,4.41514014566321,2.06028234421658
4,4,0,3.41,1.28,1,0,0,0,0,293.8772740000001,408.8639630000001,7552.403400000003,351.45487569138425,348.55498651696115,1771.67,1734.037717547288,1626.197495595874,19.241400000000002,0.0,36.23,0.0,123.34540677636306,19.241400000000002,36.23,9.440504250000005,2.2145875,0.5310902566933482,1.882919122309187,2.221511482878069
5,5,0,1.98,5.22,0,0,0,0,0,145.75752400000005,257.28985400000005,810.9148,745.5108525335775,717.3978217504733,1740.22,1708.0068580327916,1615.077848682971,13.9588,0.0,35.39,0.0,108.46905741460542,13.9588,35.39,1.0136435,2.175275,0.394427804464538,2.5353182221967505,2.603638773884222
6,6,0,2.1,5.19,0,1,0,0,0,167.06502299999994,277.804068,2172.1633999999995,636.1420855465265,618.5881018717108,1686.62,1661.5003129569566,1588.386379542091,15.5426,0.0,34.52,0.0,109.06744763597159,15.5426,34.52,2.7152042499999993,2.1082750000000003,0.4502491309385863,2.220992626716251,2.4065347920835993
7,7,0,2.13,5.14,0,1,0,0,0,255.449015,378.86002900000005,2687.5248000000024,830.4965081503378,795.6925108958452,1830.51,1784.5112044573334,1653.934423940523,18.707600000000003,0.0,35.41,0.0,121.2009547286212,18.707600000000003,35.41,3.359406000000003,2.2881375000000004,0.5283140355831687,1.8928136158566566,2.3496698748757106
8,8,0,2.24,5.0,0,1,0,0,0,184.30628299999987,313.590497,2453.336599999996,691.4475213236267,667.5318820794546,1761.17,1727.415959181803,1630.2641454335765,16.1356,0.0,37.31,0.0,113.42623466731106,16.1356,37.31,3.066670749999994,2.2014625,0.4324738675958188,2.312278440219143,2.8122113604577486
9,9,0,1.99,5.15,0,0,0,0,0,250.66145100000006,420.794936,1350.4438,1264.29619257901,1168.3590374285072,2085.11,1979.4357056018105,1695.6267072223125,19.9558,0.0,36.13,0.0,143.07393350889183,19.9558,36.13,1.68805475,2.6063875000000003,0.5523332410738998,1.8105012076689484,2.5889892741964493
10,10,0,2.27,5.15,0,1,0,0,0,402.2070230000003,574.7777290000002,3995.752400000004,1214.4507535506243,1120.2525926078401,2142.7200000000003,2019.2121323409335,1691.594877850631,24.77060000000001,0.0,35.18,0.0,161.35079113927694,24.77060000000001,35.18,4.994690500000004,2.6784000000000003,0.7041102899374647,1.4202320492842315,3.5189649178408873
11,11,0,1.97,5.24,0,1,0,0,0,431.5849400000003,536.2639620000002,6961.384600000008,651.2805542700582,637.0011044567689,1877.29,1823.542467752613,1672.295264629868,24.60140000000001,0.0,31.85,0.0,120.6028315959849,24.60140000000001,31.85,8.70173075000001,2.3466125,0.7724144427001572,1.294641768354646,1.6067183344209006
12,12,0,2.21,5.15,1,0,0,0,0,114.03229799999995,177.354044,5834.223599999999,25.37106937318173,25.593152726882376,506.17,505.6252092385754,503.9936997525793,11.070799999999998,0.0,39.13,0.0,81.8847351433657,11.070799999999998,39.13,7.292779499999998,0.6327125,0.28292358803986706,3.534523250352279,13.393452182923557
13,13,0,3.22,4.99,1,0,0,0,0,185.33212099999974,299.809753,1042.8056000000006,957.6746947358761,910.0325233917617,1826.97,1778.437572177003,1641.1184808052099,17.107200000000002,0.0,32.46,0.0,93.13461644932698,17.107200000000002,32.46,1.3035070000000004,2.2837125,0.5270240295748614,1.8974466891133555,1.904217466102233
14,14,0,2.06,5.16,0,1,0,0,0,341.61519900000013,474.210179,3345.9230000000034,988.3409471745543,942.6503379380744,1886.08,1832.2612332273613,1680.7966560706786,21.886400000000002,0.0,35.55,0.0,121.44207171005274,21.886400000000002,35.55,4.182403750000004,2.3576,0.6156511954992969,1.6242963666934715,2.4649336733894742
15,15,0,2.16,5.14,0,0,0,0,0,290.3450039999999,493.131425,1856.4204000000004,1709.8591974698509,1524.5690561487775,2270.7799999999997,2095.029359961203,1646.1152573258607,25.134,0.0,36.19,0.0,171.63269101289794,25.134,36.19,2.320525500000001,2.8384750000000003,0.6945012434374137,1.4398822312405506,5.724764000041995
16,16,0,2.06,5.25,0,1,0,0,0,329.7572860000001,469.0400720000001,4642.413800000003,829.4558199758897,773.8676779723436,2108.67,1996.8432487425382,1697.926322085722,20.4038,0.0,34.74,0.0,145.08208662244422,20.4038,34.74,5.8030172500000035,2.6358374999999996,0.587328727691422,1.7026240210156933,5.663103937889402
17,17,0,2.13,5.14,0,1,0,0,0,356.63882000000024,470.0778630000002,6079.4318000000085,548.4833899847973,536.7380123735397,1818.11,1777.8677161407209,1662.995552838946,21.219400000000007,0.0,36.37,0.0,135.6079099119317,21.219400000000007,36.37,7.599289750000012,2.2726374999999996,0.5834313995050868,1.713997568263004,1.8886260862172277
18,18,0,2.04,5.31,0,1,0,0,0,356.82422199999985,482.3342129999997,4877.692399999993,766.3990938566282,740.6570025545781,1823.25,1779.8870007642201,1656.499659022488,22.070199999999993,0.0,34.41,0.0,114.31497008517411,22.070199999999993,34.41,6.09711549999999,2.2790625,0.6413891310665503,1.5591159119536755,1.0328635461827556
19,19,0,1.96,5.14,1,0,0,0,0,106.11442299999997,186.735515,5768.1741999999995,20.88634289781797,21.18435021985182,510.46,509.89818625548077,508.21582017194925,11.142999999999999,0.0,39.56,0.0,86.13063729755649,11.142999999999999,39.56,7.210217749999997,0.638075,0.2816734074823053,3.5502108947321194,4.437003610303954
20,20,0,3.14,6.0,1,0,0,0,0,133.28413200000003,292.30428200000006,1181.2107999999996,1111.0118995497367,1051.1347598491475,1855.75,1803.3767317094623,1655.7817709278304,18.843,0.0,32.07,0.0,90.94346253283318,18.843,32.07,1.4765134999999991,2.3196875,0.5875584658559401,1.701958286896991,1.4317376249677574
21,21,0,2.05,5.15,1,0,0,0,0,111.73159600000001,184.76559599999996,5881.7372,22.053889216833895,22.382744088157878,499.22,498.70860777571613,497.1769204130825,11.283999999999997,0.0,39.4,0.0,82.91693024783623,11.283999999999997,39.4,7.352171499999998,0.6240249999999999,0.28639593908629435,3.4916696207018796,1.4113413619086397
22,22,0,3.31,5.53,1,0,0,0,0,154.378909,300.96893200000005,1157.9877999999994,1094.992127222869,1036.519621211831,1831.1499999999999,1782.4005000704826,1644.4863979075042,18.797600000000003,0.0,31.57,0.0,88.89895075224737,18.797600000000003,31.57,1.4474847499999997,2.2889375,0.595426037377257,1.6794697195386643,1.4188445044700702
